93093629,93362792
93552337,93784394
91672655,92591001
82445610,82675524
88105299,88955750
106347332,106599299
91691875,91937869
101208479,101392036
115109450,115344625
92859869,93094811
114759374,115052816
85222418,85459119
81728039,81992147
105095522,105314222
91586122,91808912
88708052,88965691
93707534,93990004
80876396,81125132
104863260,105125528
78697501,79097283
78973130,79275641
88690886,88977402
78948361,79185276
106937043,107111157
99337006,99552724
64849284,65163638
83857709,84056549
123432165,123606149
98534130,98756564
83959764,84176693
91730393,91895713
64355057,64551476
90920480,91218450
97772229,98007921
88329782,88619011
118216766,118473642
90752875,90972096
85054133,85288139
77505505,77783198
68723288,68986875
89999777,90198156
86235378,86492130
94427267,94648487
104987150,105232121
90453724,90632945
70860648,71018295
83897153,84062006
83649921,84184957
108829176,109058034
86344219,87351313
85974807,86264830
154402873,154673868
96479984,96685672
108455789,108644259
87566740,87797255
78380693,78646613
95562894,95857361
115034528,115271361
94713635,94996431
62857181,63124968
100838490,101043156
85529182,86156907
70478178,70636957
85804322,86061716
84881424,85112765
85629957,85891548
101652765,101930076
107832257,108043940
86494835,86702937
76856877,77121958
99905142,100118140
72453914,72883067
88383262,88639782
116652236,116822441
67924563,69469277
102456366,102694985
88187184,88452790
102120395,102446566
108153649,108356752
70540901,73421118
89695112,89902895
97207056,97443597
94698792,94956915
99761019,99930237
68731480,68939413
115147148,115307087
108016009,108223319
78125451,78324856
80542066,80904529
165691147,165861081
101390216,101514321
92154601,92321580
113983054,114130864
87899318,88250392
134197215,134405684
98282716,98428871
94921458,95075237
89551908,89740831
121081568,121324338
121968876,122209939
84424797,84667343
125614484,125781636
87729000,87936118
150293385,150490683
75299326,75637893
86952056,87169671
79162976,79436193
106125106,106288640
65927768,66250474
70471282,70678667
72240866,72467644
98499533,98709806
111981776,112144505
115967320,116141045
88937759,89372516
88445785,88669470
100969399,101196728
101272265,101490924
92300499,92529995
92492787,92708141
125536968,125755485
94203719,94575729
118757798,118988012
72823386,73190599
85501414,85739759
114978113,115244578
127096268,127262441
153201029,153372167
94312710,94479228
90882331,91098261
64531132,64828596
117118288,117358429
173546912,173729342
107319865,107541528
80237784,80500882
67605850,67909252
87308472,87484391
94100975,94323826
79315071,79566468
88143686,88321136
88987402,89780446
112283593,112519528
92042008,93172939
113085704,113307143
125107351,125354619
111757405,112026714
96714273,96891632
100353682,100516782
84718845,84943546
105311763,105541097
98244125,98485697
68780865,69214786
92458509,92680124
84416196,84640107
108227546,108442653
63159966,63547601
105556646,105843109
85411719,85621030
119440916,119681403
95360205,95553098
86280361,86478349
53935396,54151745
82593486,82901731
89054650,89294890
111014564,111242246
87137704,87382241
96592774,96812664
94790354,94984002
154847921,155111703
150691319,150904926
99424918,99646643
67923971,68257800
125697646,125913846
122747051,123024991
108737389,108956493
78294735,78498479
113890699,114065292
94843022,95084576
89294538,89511891
94389733,94591718
122912617,123104767
112186958,112358659
105093162,105301720
98813275,99037903
111848838,112061320
94087943,94346449
121915554,122142512
116017536,116245876
105162824,105390793
82344299,82602030
101081177,101369317
142152122,142374035
90332804,90590256
93024182,93243893
84708534,84948018
59261220,59575118
97348720,97534680
70089674,70414153
