nm9442562;;Fr\'ed\'ric Andrei
nm9442634;;Ren\`ee Asherson;;1920
nm9443049;;Val\'erie Bonnier
nm9444087;;Fifi D\'Orsay;;1904
nm9444906;;Fernando Guill\'en
nm9445312;;Ren\'ee Houston;;1901
nm9445473;;Fr\'ed\'erique Jamet
nm9445495;;Jackie \'Butch' Jenkins;;1937
nm9445899;;Allan \'Rocky' Lane;;1901
nm9446088;;L\'eon M. Lion
nm9447307;;Francois P\'erier;;1919
nm9447817;;Noel Roquev\'ert;;1894
nm9447820;;\'Slapsie' Maxie Rosenbloom;;1906
nm9448651;;Mel Torm\'e;;1923
